Cohort,Total_Customers,Retained,Churned,Retention_Rate,Churn_Rate,Avg_Monthly_Revenue
0-6 months,1470,686,784,46.666666666666664,53.333333333333336,54.83833333333334
6-12 months,705,452,253,64.11347517730496,35.88652482269504,58.95290780141844
12-24 months,1024,730,294,71.2890625,28.7109375,61.357275390625
24-36 months,832,652,180,78.36538461538461,21.634615384615387,65.57548076923078
36-48 months,762,617,145,80.97112860892389,19.028871391076116,66.31824146981627
48+ months,2239,2026,213,90.48682447521215,9.513175524787853,73.94537740062529
